visit_id,customer_id,store_id,visit_date,duration_minutes,purpose,items_viewed,purchased,satisfaction_score,accompanied_by,weather
V001,C045,S001,2023-01-05 14:00:00,42,쇼핑,6,Y,4.5,혼자,맑음
V002,C089,S002,2023-01-05 11:00:00,35,쇼핑,4,Y,4.7,친구,맑음
V003,C124,S005,2023-01-06 15:30:00,28,쇼핑,3,Y,4.2,혼자,흐림
V004,C033,S002,2023-01-07 13:00:00,48,쇼핑,7,Y,4.8,배우자,맑음
V005,C067,S003,2023-01-08 10:20:00,32,쇼핑,4,Y,4.4,친구,맑음
V006,C098,S004,2023-01-09 15:00:00,45,쇼핑,6,Y,4.6,혼자,비
V007,C012,S001,2023-01-10 12:15:00,52,쇼핑,8,Y,4.9,배우자,맑음
V008,C056,S003,2023-01-11 14:30:00,38,쇼핑,5,Y,4.5,혼자,맑음
V009,C078,S004,2023-01-12 17:00:00,41,쇼핑,5,Y,4.3,친구,흐림
V010,C134,S005,2023-01-13 11:10:00,29,쇼핑,3,Y,4.1,혼자,맑음
V011,C023,S001,2023-01-14 16:30:00,46,쇼핑,7,Y,4.7,배우자,맑음
V012,C091,S002,2023-01-15 13:00:00,33,쇼핑,4,Y,4.4,혼자,맑음
V013,C045,S001,2023-01-16 10:00:00,44,쇼핑,6,Y,4.6,친구,흐림
V014,C112,S003,2023-01-17 15:30:00,50,쇼핑,8,Y,4.8,배우자,맑음
V015,C067,S003,2023-01-18 12:20:00,36,쇼핑,5,Y,4.5,혼자,맑음
V016,C089,S002,2023-01-19 14:00:00,43,쇼핑,6,Y,4.7,친구,비
V017,C134,S005,2023-01-20 11:15:00,31,쇼핑,4,Y,4.3,혼자,맑음
V018,C023,S001,2023-01-21 16:00:00,47,쇼핑,7,Y,4.6,배우자,맑음
V019,C078,S004,2023-01-22 13:30:00,39,쇼핑,5,Y,4.4,혼자,흐림
V020,C056,S003,2023-01-23 10:15:00,34,쇼핑,4,Y,4.5,친구,맑음
V021,C145,S005,2023-01-24 14:00:00,27,쇼핑,3,Y,4.2,혼자,맑음
V022,C012,S001,2023-01-25 11:30:00,49,쇼핑,7,Y,4.8,배우자,맑음
V023,C098,S002,2023-01-26 17:15:00,54,쇼핑,9,Y,4.9,친구,비
V024,C045,S001,2023-01-27 12:00:00,40,쇼핑,6,Y,4.6,혼자,맑음
V025,C091,S002,2023-01-28 15:20:00,35,쇼핑,5,Y,4.4,배우자,흐림
V026,C067,S003,2023-01-29 10:10:00,32,쇼핑,4,Y,4.3,혼자,맑음
V027,C112,S003,2023-01-30 13:40:00,45,쇼핑,7,Y,4.7,친구,맑음
V028,C134,S005,2023-01-31 16:15:00,30,쇼핑,3,Y,4.2,혼자,맑음
V029,C023,S001,2023-02-01 11:00:00,48,쇼핑,8,Y,4.8,배우자,비
V030,C089,S002,2023-02-02 14:30:00,42,쇼핑,6,Y,4.6,혼자,맑음
V031,C078,S004,2023-02-03 12:20:00,37,쇼핑,5,Y,4.5,친구,맑음
V032,C145,S005,2023-02-04 15:05:00,28,쇼핑,3,Y,4.1,혼자,흐림
V033,C056,S003,2023-02-05 10:35:00,34,쇼핑,4,Y,4.4,배우자,맑음
V034,C012,S001,2023-02-06 17:00:00,51,쇼핑,8,Y,4.9,친구,맑음
V035,C098,S002,2023-02-07 13:25:00,44,쇼핑,7,Y,4.7,혼자,비
V036,C091,S002,2023-02-08 11:10:00,38,쇼핑,5,Y,4.5,배우자,맑음
V037,C045,S001,2023-02-09 16:35:00,46,쇼핑,7,Y,4.6,혼자,맑음
V038,C134,S005,2023-02-10 12:00:00,29,쇼핑,3,Y,4.2,친구,흐림
V039,C067,S003,2023-02-11 14:15:00,36,쇼핑,5,Y,4.5,혼자,맑음
V040,C112,S003,2023-02-12 10:25:00,41,쇼핑,6,Y,4.6,배우자,맑음
V041,C023,S001,2023-02-13 15:40:00,43,쇼핑,6,Y,4.7,혼자,비
V042,C078,S004,2023-02-14 11:15:00,35,쇼핑,5,Y,4.4,친구,맑음
V043,C089,S002,2023-02-15 16:05:00,47,쇼핑,7,Y,4.8,배우자,맑음
V044,C145,S005,2023-02-16 13:30:00,30,쇼핑,4,Y,4.3,혼자,흐림
V045,C056,S003,2023-02-17 10:10:00,33,쇼핑,4,Y,4.4,친구,맑음
V046,C012,S001,2023-02-18 14:35:00,49,쇼핑,8,Y,4.9,배우자,맑음
V047,C098,S002,2023-02-19 12:00:00,42,쇼핑,6,Y,4.6,혼자,비
V048,C091,S002,2023-02-20 16:20:00,38,쇼핑,5,Y,4.5,친구,맑음
V049,C067,S003,2023-02-21 11:05:00,35,쇼핑,5,Y,4.5,혼자,맑음
V050,C134,S005,2023-02-22 15:25:00,27,쇼핑,3,Y,4.2,배우자,흐림
V051,C045,S001,2023-02-23 10:40:00,45,쇼핑,7,Y,4.7,혼자,맑음
V052,C112,S003,2023-02-24 14:00:00,40,쇼핑,6,Y,4.6,친구,맑음
V053,C023,S001,2023-02-25 12:15:00,48,쇼핑,8,Y,4.8,배우자,비
V054,C078,S004,2023-02-26 16:35:00,36,쇼핑,5,Y,4.4,혼자,맑음
V055,C089,S002,2023-02-27 11:00:00,43,쇼핑,6,Y,4.7,친구,맑음
V056,C145,S005,2023-02-28 15:10:00,28,쇼핑,3,Y,4.1,혼자,흐림
V057,C056,S003,2023-03-01 13:25:00,37,쇼핑,5,Y,4.5,배우자,맑음
V058,C012,S001,2023-03-02 10:05:00,50,쇼핑,8,Y,4.9,친구,맑음
V059,C098,S002,2023-03-03 14:20:00,44,쇼핑,7,Y,4.7,혼자,비
V060,C091,S002,2023-03-04 12:35:00,39,쇼핑,6,Y,4.6,배우자,맑음
V061,C067,S003,2023-03-05 16:00:00,34,쇼핑,4,Y,4.4,혼자,맑음
V062,C134,S005,2023-03-06 11:15:00,26,쇼핑,3,Y,4.2,친구,흐림
